p_bg,p_high,T,r1_overall,r3b_overall,r1_per_class_mean,r3b_per_class_mean,r1_group,r3b_group,r1_pc_group_6_7_mean,r3b_pc_group_6_7_mean,r1_pc_group_14_15_17_mean,r3b_pc_group_14_15_17_mean,r1_pc_group_18_19_20_mean,r3b_pc_group_18_19_20_mean,r1_pc_group_22_23_mean,r3b_pc_group_22_23_mean
0.01,0.1,10,0.1816875,0.11166666666666666,0.1816875,0.11166666666666665,0.2425833333333333,0.14916666666666667,0.15075,0.16,0.063,0.12666666666666668,0.10166666666666667,0.06666666666666667,0.1105,0.09000000000000001
0.01,0.1,30,0.3086041666666667,0.09333333333333334,0.3086041666666666,0.09333333333333334,0.3953541666666667,0.12,0.2495,0.15000000000000002,0.09999999999999999,0.11333333333333333,0.09766666666666667,0.05333333333333334,0.195,0.05
0.01,0.1,50,0.40641666666666665,0.10083333333333333,0.40641666666666665,0.10083333333333333,0.5267499999999999,0.13,0.3215,0.04,0.13949999999999999,0.16666666666666666,0.1381666666666667,0.06666666666666667,0.2655,0.05
