sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,mid_measure_no_reset,4,1,True,False,False,8,12,,"0,0,0,0","X,Z","8,12",[],all_cnot_round_patterns,Z,3,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",11
1,mid_measure_no_reset,4,1,True,False,False,8,12,0,"1,0,0,0","X,Z","8,12","[{""round"": 0, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,3,00000000000100000000000000010000,000100000001000000010000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]}",11
2,mid_measure_no_reset,4,1,True,False,False,8,12,1,"0,1,0,0","X,Z","8,12","[{""round"": 1, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,3,00000000000000000001000000000000,000000000001000000010000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]}",11
3,mid_measure_no_reset,4,1,True,False,False,8,12,2,"0,0,1,0","X,Z","8,12","[{""round"": 2, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,3,00000000000000000000000000010000,000000000000000000010000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]}",11
4,mid_measure_no_reset,4,1,True,False,False,8,12,3,"0,0,0,1","X,Z","8,12","[{""round"": 3, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,3,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",11
5,mid_measure_no_reset,4,1,True,False,False,8,12,"0,1","1,1,0,0","X,Z","8,12","[{""round"": 0, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,3,00000000000100000001000000010000,000100000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",11
6,mid_measure_no_reset,4,1,True,False,False,8,12,"0,2","1,0,1,0","X,Z","8,12","[{""round"": 0, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,3,00000000000100000000000000000000,000100000001000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",11
7,mid_measure_no_reset,4,1,True,False,False,8,12,"0,3","1,0,0,1","X,Z","8,12","[{""round"": 0, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,3,00000000000100000000000000010000,000100000001000000010000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]}",11
8,mid_measure_no_reset,4,1,True,False,False,8,12,"1,2","0,1,1,0","X,Z","8,12","[{""round"": 1, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,3,00000000000000000001000000010000,000000000001000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",11
9,mid_measure_no_reset,4,1,True,False,False,8,12,"1,3","0,1,0,1","X,Z","8,12","[{""round"": 1, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 8, ""target"": 12, ""error_wires"": [8, 12], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,3,00000000000000000001000000000000,000000000001000000010000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]}",11
