sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,mid_measure_no_reset,4,1,True,False,False,14,2,,"0,0,0,0","X,Z","14,2",[],all_cnot_round_patterns,X,1,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",15
1,mid_measure_no_reset,4,1,True,False,False,14,2,0,"1,0,0,0","X,Z","14,2","[{""round"": 0, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000110001000000000011000100,110001001100010011000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]]}",15
2,mid_measure_no_reset,4,1,True,False,False,14,2,1,"0,1,0,0","X,Z","14,2","[{""round"": 1, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000001100010000000000,000000001100010011000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]]}",15
3,mid_measure_no_reset,4,1,True,False,False,14,2,2,"0,0,1,0","X,Z","14,2","[{""round"": 2, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000000011000100,000000000000000011000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]]}",15
4,mid_measure_no_reset,4,1,True,False,False,14,2,3,"0,0,0,1","X,Z","14,2","[{""round"": 3, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",15
5,mid_measure_no_reset,4,1,True,False,False,14,2,"0,1","1,1,0,0","X,Z","14,2","[{""round"": 0, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000110001001100010011000100,110001000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",15
6,mid_measure_no_reset,4,1,True,False,False,14,2,"0,2","1,0,1,0","X,Z","14,2","[{""round"": 0, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000110001000000000000000000,110001001100010000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",15
7,mid_measure_no_reset,4,1,True,False,False,14,2,"0,3","1,0,0,1","X,Z","14,2","[{""round"": 0, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000110001000000000011000100,110001001100010011000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]]}",15
8,mid_measure_no_reset,4,1,True,False,False,14,2,"1,2","0,1,1,0","X,Z","14,2","[{""round"": 1, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000001100010011000100,000000001100010000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",15
9,mid_measure_no_reset,4,1,True,False,False,14,2,"1,3","0,1,0,1","X,Z","14,2","[{""round"": 1, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 2, ""error_wires"": [14, 2], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000001100010000000000,000000001100010011000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0], [1, 1, 0, 0, 0, 1, 0, 0]]]}",15
