sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,mid_measure_no_reset,4,1,True,False,False,14,5,,"0,0,0,0","X,Z","14,5",[],all_cnot_round_patterns,X,1,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",17
1,mid_measure_no_reset,4,1,True,False,False,14,5,0,"1,0,0,0","X,Z","14,5","[{""round"": 0, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000001000000000000000100,000001000000010000000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]]}",17
2,mid_measure_no_reset,4,1,True,False,False,14,5,1,"0,1,0,0","X,Z","14,5","[{""round"": 1, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000010000000000,000000000000010000000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]]}",17
3,mid_measure_no_reset,4,1,True,False,False,14,5,2,"0,0,1,0","X,Z","14,5","[{""round"": 2, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000000000000100,000000000000000000000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]]}",17
4,mid_measure_no_reset,4,1,True,False,False,14,5,3,"0,0,0,1","X,Z","14,5","[{""round"": 3, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",17
5,mid_measure_no_reset,4,1,True,False,False,14,5,"0,1","1,1,0,0","X,Z","14,5","[{""round"": 0, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000001000000010000000100,000001000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",17
6,mid_measure_no_reset,4,1,True,False,False,14,5,"0,2","1,0,1,0","X,Z","14,5","[{""round"": 0, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000001000000000000000000,000001000000010000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",17
7,mid_measure_no_reset,4,1,True,False,False,14,5,"0,3","1,0,0,1","X,Z","14,5","[{""round"": 0, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000001000000000000000100,000001000000010000000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]]}",17
8,mid_measure_no_reset,4,1,True,False,False,14,5,"1,2","0,1,1,0","X,Z","14,5","[{""round"": 1, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000010000000100,000000000000010000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",17
9,mid_measure_no_reset,4,1,True,False,False,14,5,"1,3","0,1,0,1","X,Z","14,5","[{""round"": 1, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000010000000000,000000000000010000000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]]}",17
10,mid_measure_no_reset,4,1,True,False,False,14,5,"2,3","0,0,1,1","X,Z","14,5","[{""round"": 2, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000000000000100,000000000000000000000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]]}",17
11,mid_measure_no_reset,4,1,True,False,False,14,5,"0,1,2","1,1,1,0","X,Z","14,5","[{""round"": 0, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000001000000010000000000,000001000000000000000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]]}",17
12,mid_measure_no_reset,4,1,True,False,False,14,5,"0,1,3","1,1,0,1","X,Z","14,5","[{""round"": 0, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000001000000010000000100,000001000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",17
13,mid_measure_no_reset,4,1,True,False,False,14,5,"0,2,3","1,0,1,1","X,Z","14,5","[{""round"": 0, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000001000000000000000000,000001000000010000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",17
14,mid_measure_no_reset,4,1,True,False,False,14,5,"1,2,3","0,1,1,1","X,Z","14,5","[{""round"": 1, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000010000000100,000000000000010000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",17
15,mid_measure_no_reset,4,1,True,False,False,14,5,"0,1,2,3","1,1,1,1","X,Z","14,5","[{""round"": 0, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 5, ""error_wires"": [14, 5], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000001000000010000000000,000001000000000000000100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0, 0]]]}",17
