sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,mid_measure_reset,4,1,True,True,False,4,9,,"0,0,0,0","X,Z","4,9",[],all_cnot_round_patterns,Z,0,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",3
1,mid_measure_reset,4,1,True,True,False,4,9,0,"1,0,0,0","X,Z","4,9","[{""round"": 0, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,0,00010000100100001001000010010000,100000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0]]], ""detection_events"": [[[1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",3
2,mid_measure_reset,4,1,True,True,False,4,9,1,"0,1,0,0","X,Z","4,9","[{""round"": 1, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,0,00000000000100001001000010010000,000100001000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",3
3,mid_measure_reset,4,1,True,True,False,4,9,2,"0,0,1,0","X,Z","4,9","[{""round"": 2, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,0,00000000000000000001000010010000,000000000001000010000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]]]}",3
4,mid_measure_reset,4,1,True,True,False,4,9,3,"0,0,0,1","X,Z","4,9","[{""round"": 3, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,0,00000000000000000000000000010000,000000000000000000010000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]}",3
5,mid_measure_reset,4,1,True,True,False,4,9,"0,1","1,1,0,0","X,Z","4,9","[{""round"": 0, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,0,00010000100000000000000000000000,100100001000000000000000,,,"{""syndrome"": [[[0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",3
6,mid_measure_reset,4,1,True,True,False,4,9,"0,2","1,0,1,0","X,Z","4,9","[{""round"": 0, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,0,00010000100100001000000000000000,100000000001000010000000,,,"{""syndrome"": [[[0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]]]}",3
7,mid_measure_reset,4,1,True,True,False,4,9,"0,3","1,0,0,1","X,Z","4,9","[{""round"": 0, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,0,00010000100100001001000010000000,100000000000000000010000,,,"{""syndrome"": [[[0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]}",3
8,mid_measure_reset,4,1,True,True,False,4,9,"1,2","0,1,1,0","X,Z","4,9","[{""round"": 1, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,0,00000000000100001000000000000000,000100001001000010000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]]]}",3
9,mid_measure_reset,4,1,True,True,False,4,9,"1,3","0,1,0,1","X,Z","4,9","[{""round"": 1, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 4, ""target"": 9, ""error_wires"": [4, 9], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,0,00000000000100001001000010000000,000100001000000000010000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0]]]}",3
