sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,mid_measure_reset,4,1,True,True,False,14,4,,"0,0,0,0","X,Z","14,4",[],all_cnot_round_patterns,X,1,00000000000000000000000000000000,000000000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",16
1,mid_measure_reset,4,1,True,True,False,14,4,0,"1,0,0,0","X,Z","14,4","[{""round"": 0, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000010010101100101011001010110,010101000000000000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0]]], ""detection_events"": [[[0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",16
2,mid_measure_reset,4,1,True,True,False,14,4,1,"0,1,0,0","X,Z","14,4","[{""round"": 1, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000100101011001010110,000000100101010000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",16
3,mid_measure_reset,4,1,True,True,False,14,4,2,"0,0,1,0","X,Z","14,4","[{""round"": 2, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000001001010110,000000000000001001010100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0]]]}",16
4,mid_measure_reset,4,1,True,True,False,14,4,3,"0,0,0,1","X,Z","14,4","[{""round"": 3, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000000000000000000010,000000000000000000000010,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]]]}",16
5,mid_measure_reset,4,1,True,True,False,14,4,"0,1","1,1,0,0","X,Z","14,4","[{""round"": 0, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000010010101000000000000000000,010101100101010000000000,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]]}",16
6,mid_measure_reset,4,1,True,True,False,14,4,"0,2","1,0,1,0","X,Z","14,4","[{""round"": 0, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000010010101100101010000000000,010101000000001001010100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0]]]}",16
7,mid_measure_reset,4,1,True,True,False,14,4,"0,3","1,0,0,1","X,Z","14,4","[{""round"": 0, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000010010101100101011001010100,010101000000000000000010,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0]]], ""detection_events"": [[[0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]]]}",16
8,mid_measure_reset,4,1,True,True,False,14,4,"1,2","0,1,1,0","X,Z","14,4","[{""round"": 1, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000100101010000000000,000000100101011001010100,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0]]]}",16
9,mid_measure_reset,4,1,True,True,False,14,4,"1,3","0,1,0,1","X,Z","14,4","[{""round"": 1, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 14, ""target"": 4, ""error_wires"": [14, 4], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,X,1,00000000000000100101011001010100,000000100101010000000010,,,"{""syndrome"": [[[0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0]]], ""detection_events"": [[[0, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0]]]}",16
