syndrome_key_uint24,size,members
69905,5,C:cnot10:XZ;C:cnot11:YI;C:cnot11:YZ;C:cnot23:YY;C:cnot23:ZY
526344,5,C:cnot00:IZ;C:cnot00:ZI;C:cnot01:ZZ;C:cnot12:YY;C:cnot12:ZZ
559240,5,C:cnot00:XZ;C:cnot00:YI;C:cnot01:YZ;C:cnot12:YZ;C:cnot12:ZY
20560,4,C:cnot09:XI;C:cnot16:XI;C:cnot17:IX;C:cnot17:XX
37008,4,C:cnot08:XI;C:cnot08:YZ;C:cnot16:IX;C:cnot19:IX
65536,4,C:cnot22:YX;C:cnot22:ZI;C:cnot23:YI;C:cnot23:ZI
66307,4,C:cnot21:IZ;C:cnot21:XZ;C:cnot22:YY;C:cnot22:ZZ
69648,4,C:cnot22:YI;C:cnot22:ZX;C:cnot23:YX;C:cnot23:ZX
70419,4,C:cnot21:IY;C:cnot21:XY;C:cnot22:YZ;C:cnot22:ZY
172706,4,C:cnot06:XZ;C:cnot06:YI;C:cnot18:YZ;C:cnot18:ZY
265228,4,C:cnot13:IZ;C:cnot13:XZ;C:cnot14:YY;C:cnot14:ZZ
298124,4,C:cnot13:IY;C:cnot13:XY;C:cnot14:YZ;C:cnot14:ZY
524288,4,C:cnot12:YX;C:cnot12:ZI;C:cnot13:YI;C:cnot13:ZI
557184,4,C:cnot12:YI;C:cnot12:ZX;C:cnot13:YX;C:cnot13:ZX
1085584,4,C:cnot03:XI;C:cnot03:XZ;C:cnot08:XX;C:cnot08:YY
1480342,4,C:cnot03:YI;C:cnot03:YZ;C:cnot08:XY;C:cnot08:YX
2097152,4,C:cnot06:IX;C:cnot06:ZY;C:cnot07:IX;C:cnot07:IY
2228738,4,C:cnot06:IY;C:cnot06:ZX;C:cnot07:ZX;C:cnot07:ZY
4194304,4,C:cnot04:IX;C:cnot04:ZY;C:cnot05:IX;C:cnot05:IY
4457476,4,C:cnot04:IY;C:cnot04:ZX;C:cnot05:ZX;C:cnot05:ZY
514,3,C:cnot18:IZ;C:cnot18:XY;C:cnot20:IZ
1028,3,C:cnot15:IZ;C:cnot17:IZ;C:cnot17:XZ
8224,3,C:cnot07:XI;C:cnot07:XZ;C:cnot20:IX
16448,3,C:cnot04:XI;C:cnot04:YZ;C:cnot15:IX
135184,3,C:cnot20:YI;C:cnot21:YX;C:cnot21:ZX
139810,3,C:cnot07:YI;C:cnot07:YZ;C:cnot20:ZY
172192,3,C:cnot18:YI;C:cnot18:ZX;C:cnot19:YX
197379,3,C:cnot10:ZI;C:cnot21:YZ;C:cnot21:ZZ
201491,3,C:cnot10:YI;C:cnot21:YY;C:cnot21:ZY
279620,3,C:cnot04:XZ;C:cnot04:YI;C:cnot15:ZY
282704,3,C:cnot16:YI;C:cnot17:YX;C:cnot17:ZX
283732,3,C:cnot09:YI;C:cnot17:YY;C:cnot17:ZY
295040,3,C:cnot14:YI;C:cnot14:ZX;C:cnot15:YX
431766,3,C:cnot08:XZ;C:cnot08:YI;C:cnot16:ZY
789516,3,C:cnot01:ZI;C:cnot13:YZ;C:cnot13:ZZ
822412,3,C:cnot01:YI;C:cnot13:YY;C:cnot13:ZY
1052688,3,C:cnot10:XX;C:cnot11:XX;C:cnot11:XY
1069136,3,C:cnot05:XI;C:cnot05:XZ;C:cnot09:XX
1114369,3,C:cnot10:IY;C:cnot11:ZX;C:cnot11:ZY
1118481,3,C:cnot10:XY;C:cnot11:YX;C:cnot11:YY
1332308,3,C:cnot05:YI;C:cnot05:YZ;C:cnot09:YX
1443334,3,C:cnot08:IY;C:cnot08:ZX;C:cnot09:ZY
2138272,3,C:cnot02:XI;C:cnot06:XX;C:cnot06:YY
2269858,3,C:cnot02:YI;C:cnot06:XY;C:cnot06:YX
8421504,3,C:cnot00:XX;C:cnot00:YY;C:cnot01:XX
8783366,3,C:cnot02:IY;C:cnot03:ZX;C:cnot03:ZY
8914952,3,C:cnot00:IY;C:cnot00:ZX;C:cnot01:ZY
8947848,3,C:cnot00:XY;C:cnot00:YX;C:cnot01:YY
257,2,C:cnot23:IZ;C:cnot23:XZ
771,2,C:cnot22:IZ;C:cnot22:XY
2056,2,C:cnot12:IZ;C:cnot12:XY
3084,2,C:cnot14:IZ;C:cnot14:XY
4369,2,C:cnot23:IY;C:cnot23:XY
4883,2,C:cnot22:IY;C:cnot22:XZ
12336,2,C:cnot19:XI;C:cnot20:XX
21588,2,C:cnot17:IY;C:cnot17:XY
34952,2,C:cnot12:IY;C:cnot12:XZ
35980,2,C:cnot14:IY;C:cnot14:XZ
41634,2,C:cnot18:IY;C:cnot18:XZ
49344,2,C:cnot15:XI;C:cnot16:XX
132614,2,C:cnot16:IZ;C:cnot19:ZZ
135698,2,C:cnot10:YZ;C:cnot20:YZ
143408,2,C:cnot19:YI;C:cnot20:YX
169622,2,C:cnot16:IY;C:cnot19:ZY
296068,2,C:cnot01:XZ;C:cnot15:YY
311488,2,C:cnot15:YI;C:cnot16:YX
415318,2,C:cnot09:YZ;C:cnot16:YZ
1180162,2,C:cnot09:IY;C:cnot10:ZY
2105376,2,C:cnot07:XX;C:cnot07:XY
2236962,2,C:cnot07:YX;C:cnot07:YY
4210752,2,C:cnot04:XX;C:cnot04:YY
4473924,2,C:cnot04:XY;C:cnot04:YX
5263440,2,C:cnot05:XX;C:cnot05:XY
5526612,2,C:cnot05:YX;C:cnot05:YY
8651780,2,C:cnot01:IY;C:cnot02:ZY
9474192,2,C:cnot03:XX;C:cnot03:XY
9868950,2,C:cnot03:YX;C:cnot03:YY
1542,1,C:cnot19:IZ
4626,1,C:cnot20:XZ
8738,1,C:cnot20:IY
12850,1,C:cnot20:XY
13878,1,C:cnot19:XZ
17476,1,C:cnot15:IY
33924,1,C:cnot15:XY
38550,1,C:cnot19:IY
42662,1,C:cnot19:XY
50372,1,C:cnot15:XZ
139296,1,C:cnot20:ZX
