syndrome_key_uint24,size,members
312324,2,C:cnot15:YI;C:cnot16:YX
413702,2,C:cnot09:YZ;C:cnot16:YZ
1183762,2,C:cnot09:IY;C:cnot10:ZY
2097184,2,C:cnot07:XX;C:cnot07:XY
2228258,2,C:cnot07:YX;C:cnot07:YY
4194368,2,C:cnot04:XX;C:cnot04:YY
4456516,2,C:cnot04:XY;C:cnot04:YX
5242960,2,C:cnot05:XX;C:cnot05:XY
5505108,2,C:cnot05:YX;C:cnot05:YY
8683652,2,C:cnot01:IY;C:cnot02:ZY
9437328,2,C:cnot03:XX;C:cnot03:XY
9830550,2,C:cnot03:YX;C:cnot03:YY
1536,1,C:cnot19:IZ
4608,1,C:cnot20:XZ
8704,1,C:cnot20:IY
12800,1,C:cnot20:XY
13824,1,C:cnot19:XZ
17408,1,C:cnot15:IY
33792,1,C:cnot15:XY
38400,1,C:cnot19:IY
42496,1,C:cnot19:XY
50176,1,C:cnot15:XZ
139778,1,C:cnot20:ZX
143362,1,C:cnot20:YY
144386,1,C:cnot19:YZ
151554,1,C:cnot09:XZ
152578,1,C:cnot16:XZ
168450,1,C:cnot19:ZX
173058,1,C:cnot19:YY
181250,1,C:cnot16:XY
279556,1,C:cnot15:ZX
300036,1,C:cnot16:ZX
311300,1,C:cnot15:YZ
442374,1,C:cnot16:YY
1179666,1,C:cnot10:YY
1196050,1,C:cnot09:XY
1245203,1,C:cnot10:YX
1249299,1,C:cnot10:ZX
1314836,1,C:cnot09:ZX
1458198,1,C:cnot09:YY
2392100,1,C:cnot02:YZ
2523174,1,C:cnot02:XZ
8552578,1,C:cnot02:ZX
8650884,1,C:cnot01:XY
9175180,1,C:cnot01:YX
9207948,1,C:cnot01:ZX
10485920,1,C:cnot02:XX
10616994,1,C:cnot02:YX
10748068,1,C:cnot02:YY
10879142,1,C:cnot02:XY
