mode,cnot_id,n_unique_syndromes,n_silent,most_common_size
reset,0,8,1,2
reset,1,15,0,1
reset,2,15,0,1
reset,3,8,1,2
reset,4,8,1,2
reset,5,8,1,2
reset,6,8,1,2
reset,7,8,1,2
reset,8,8,1,2
reset,9,15,0,1
reset,10,15,0,1
reset,11,8,1,2
reset,12,8,1,2
reset,13,8,1,2
reset,14,8,1,2
reset,15,15,0,1
reset,16,15,0,1
reset,17,8,1,2
reset,18,8,1,2
reset,19,15,0,1
reset,20,15,0,1
reset,21,8,1,2
reset,22,8,1,2
reset,23,8,1,2
