cnot_idx,stab_type,stab_index,control,target,pauli,syndrome_bits,conflict_size,conflict_cnots
0,Z,0,0,9,XX,1000000000000000,2,0|1
1,Z,0,1,9,XX,1000000000000000,2,0|1
2,Z,0,3,9,XX,1010000000000000,1,2
3,Z,0,4,9,XX,1001000000000000,1,3
4,Z,1,2,10,XX,0100000000000000,1,4
5,Z,1,5,10,XX,0101000000000000,1,5
6,Z,2,3,11,XX,0010000010000000,1,6
7,Z,2,6,11,XX,0010000000000000,1,7
8,Z,3,4,12,XX,0001000010000000,2,3|8
9,Z,3,5,12,XX,0001000001000000,2,5|9
10,Z,3,7,12,XX,0001000000000000,2,10|11
11,Z,3,8,12,XX,0001000000000000,2,10|11
12,X,0,13,0,XX,0000000000000000,8,0|4|6|8|12|14|18|22
13,X,0,13,1,XX,0000000010000000,3,0|13|15
14,X,1,14,1,XX,0000000000000000,8,0|4|6|8|12|14|18|22
15,X,1,14,2,XX,0000000010000000,3,0|13|15
16,X,1,14,4,XX,0000000011000000,1,16
17,X,1,14,5,XX,0000000001010000,1,17
18,X,2,15,3,XX,0000000000000000,8,0|4|6|8|12|14|18|22
19,X,2,15,4,XX,0000000010100000,2,6|19
20,X,2,15,6,XX,0000000000110000,1,20
21,X,2,15,7,XX,0000000000010000,3,11|21|23
22,X,3,16,7,XX,0000000000000000,8,0|4|6|8|12|14|18|22
23,X,3,16,8,XX,0000000000010000,3,11|21|23
0,Z,0,0,9,XY,1000100000000000,2,0|1
1,Z,0,1,9,XY,1000010000000000,1,1
2,Z,0,3,9,XY,1010011000000000,1,2
3,Z,0,4,9,XY,1001000000000000,1,3
4,Z,1,2,10,XY,0100010000000000,1,4
5,Z,1,5,10,XY,0101000000000000,1,5
6,Z,2,3,11,XY,0010001010000000,1,6
7,Z,2,6,11,XY,0010000000000000,1,7
8,Z,3,4,12,XY,0001011010000000,2,3|8
9,Z,3,5,12,XY,0001001001000000,1,9
10,Z,3,7,12,XY,0001000100000000,2,10|11
11,Z,3,8,12,XY,0001000000000000,2,10|11
12,X,0,13,0,XY,0000000000001000,1,12
13,X,0,13,1,XY,0000010010001000,2,13|14
14,X,1,14,1,XY,0000000000001100,1,14
15,X,1,14,2,XY,0000000010000100,1,15
16,X,1,14,4,XY,0000001011000100,1,16
17,X,1,14,5,XY,0000000001010100,1,17
18,X,2,15,3,XY,0000000000000010,1,18
19,X,2,15,4,XY,0000000010100110,1,19
20,X,2,15,6,XY,0000000000110010,1,20
21,X,2,15,7,XY,0000000100010010,2,21|22
22,X,3,16,7,XY,0000000000000011,1,22
23,X,3,16,8,XY,0000000000010001,1,23
0,Z,0,0,9,XZ,0000100010000000,3,0|1|12
1,Z,0,1,9,XZ,0000010010000000,2,1|15
2,Z,0,3,9,XZ,0010011010000000,1,2
3,Z,0,4,9,XZ,0001000010000000,2,3|8
