cnot_idx,stab_type,stab_index,control,target,pauli,syndrome_bits,conflict_size,conflict_cnots
14,X,1,14,1,YX,000001000000000000000000,1,14
15,X,1,14,2,YX,000001001000000010000000,2,14|15
16,X,1,14,4,YX,000001001100000011000000,1,16
17,X,1,14,5,YX,000001000101000001010000,1,17
18,X,2,15,3,YX,000000100000000000000000,1,18
19,X,2,15,4,YX,000000101010000010100000,2,18|19
20,X,2,15,6,YX,000000100011000000110000,1,20
21,X,2,15,7,YX,000000100001000000010000,1,21
22,X,3,16,7,YX,000000010000000000000000,1,22
23,X,3,16,8,YX,000000010001000000010000,2,22|23
0,Z,0,0,9,YY,100000001000000010000000,2,0|1
1,Z,0,1,9,YY,100010001000100010001000,2,0|1
2,Z,0,3,9,YY,101001001010010010100100,1,2
3,Z,0,4,9,YY,100101101001011010010110,1,3
4,Z,1,2,10,YY,010000000100000001000000,1,4
5,Z,1,5,10,YY,010101000101010001010100,1,5
6,Z,2,3,11,YY,001000001010000010100000,1,6
7,Z,2,6,11,YY,001000100010001000100010,1,7
8,Z,3,4,12,YY,000100001001000010010000,2,3|8
9,Z,3,5,12,YY,000101100101011001010110,1,9
10,Z,3,7,12,YY,000100100001001000010010,1,10
11,Z,3,8,12,YY,000100010001000100010001,2,10|11
12,X,0,13,0,YY,000010000000100000001000,2,1|12
13,X,0,13,1,YY,000011001000110010001100,1,13
14,X,1,14,1,YY,000001000000110000001100,2,13|14
15,X,1,14,2,YY,000001001000010010000100,2,1|15
16,X,1,14,4,YY,000001101100011011000110,1,16
17,X,1,14,5,YY,000001000101010001010100,1,17
18,X,2,15,3,YY,000000100000001000000010,4,7|10|18|20
19,X,2,15,4,YY,000000101010011010100110,1,19
20,X,2,15,6,YY,000000100011001000110010,1,20
21,X,2,15,7,YY,000000110001001100010011,1,21
22,X,3,16,7,YY,000000010000001100000011,2,21|22
23,X,3,16,8,YY,000000010001000100010001,3,10|11|23
0,Z,0,0,9,YZ,000000001000000010000000,3,0|13|15
1,Z,0,1,9,YZ,000010001000100010001000,3,0|1|12
2,Z,0,3,9,YZ,001001001010010010100100,1,2
3,Z,0,4,9,YZ,000101101001011010010110,2,3|8
4,Z,1,2,10,YZ,000000000100000001000000,1,4
5,Z,1,5,10,YZ,000101000101010001010100,2,5|9
6,Z,2,3,11,YZ,000000001010000010100000,2,6|19
7,Z,2,6,11,YZ,000000100010001000100010,2,7|20
8,Z,3,4,12,YZ,000000001001000010010000,1,8
9,Z,3,5,12,YZ,000001100101011001010110,2,9|16
10,Z,3,7,12,YZ,000000100001001000010010,2,10|20
11,Z,3,8,12,YZ,000000010001000100010001,3,10|11|23
12,X,0,13,0,YZ,000010001000100010001000,3,0|1|12
13,X,0,13,1,YZ,000011000000110000001100,1,13
14,X,1,14,1,YZ,000001001000110010001100,2,13|14
15,X,1,14,2,YZ,000001001100010011000100,1,15
16,X,1,14,4,YZ,000001100101011001010110,2,9|16
