error,mode,syndrome_r0,syndrome_r1,syndrome_r2
C:cnot16:IY,noreset,00000010,10010100,00000010
C:cnot16:IZ,reset,00000010,00000110,00000110
C:cnot16:IZ,noreset,00000010,00000100,00000010
C:cnot16:XI,reset,00000000,01010000,01010000
C:cnot16:XI,noreset,00000000,01010000,00000000
C:cnot16:XX,reset,00000000,11000000,11000000
C:cnot16:XX,noreset,00000000,11000000,00000000
C:cnot16:XY,reset,00000010,11000110,11000110
C:cnot16:XY,noreset,00000010,11000100,00000010
C:cnot16:XZ,reset,00000010,01010110,01010110
C:cnot16:XZ,noreset,00000010,01010100,00000010
C:cnot16:YI,reset,00000100,01010000,01010000
C:cnot16:YI,noreset,00000100,01010100,00000100
C:cnot16:YX,reset,00000100,11000000,11000000
C:cnot16:YX,noreset,00000100,11000100,00000100
C:cnot16:YY,reset,00000110,11000110,11000110
C:cnot16:YY,noreset,00000110,11000000,00000110
C:cnot16:YZ,reset,00000110,01010110,01010110
C:cnot16:YZ,noreset,00000110,01010000,00000110
C:cnot16:ZI,reset,00000100,00000000,00000000
C:cnot16:ZI,noreset,00000100,00000100,00000100
C:cnot16:ZX,reset,00000100,10010000,10010000
C:cnot16:ZX,noreset,00000100,10010100,00000100
C:cnot16:ZY,reset,00000110,10010110,10010110
C:cnot16:ZY,noreset,00000110,10010000,00000110
C:cnot16:ZZ,reset,00000110,00000110,00000110
C:cnot16:ZZ,noreset,00000110,00000000,00000110
C:cnot17:IX,reset,00000000,01010000,01010000
C:cnot17:IX,noreset,00000000,01010000,00000000
C:cnot17:IY,reset,00000000,01010100,01010100
C:cnot17:IY,noreset,00000000,01010100,00000000
C:cnot17:IZ,reset,00000000,00000100,00000100
C:cnot17:IZ,noreset,00000000,00000100,00000000
C:cnot17:XI,reset,00000000,00000000,00000000
C:cnot17:XI,noreset,00000000,00000000,00000000
C:cnot17:XX,reset,00000000,01010000,01010000
C:cnot17:XX,noreset,00000000,01010000,00000000
C:cnot17:XY,reset,00000000,01010100,01010100
C:cnot17:XY,noreset,00000000,01010100,00000000
C:cnot17:XZ,reset,00000000,00000100,00000100
C:cnot17:XZ,noreset,00000000,00000100,00000000
C:cnot17:YI,reset,00000100,00000000,00000000
C:cnot17:YI,noreset,00000100,00000100,00000100
C:cnot17:YX,reset,00000100,01010000,01010000
C:cnot17:YX,noreset,00000100,01010100,00000100
C:cnot17:YY,reset,00000100,01010100,01010100
C:cnot17:YY,noreset,00000100,01010000,00000100
C:cnot17:YZ,reset,00000100,00000100,00000100
C:cnot17:YZ,noreset,00000100,00000000,00000100
C:cnot17:ZI,reset,00000100,00000000,00000000
C:cnot17:ZI,noreset,00000100,00000100,00000100
C:cnot17:ZX,reset,00000100,01010000,01010000
C:cnot17:ZX,noreset,00000100,01010100,00000100
C:cnot17:ZY,reset,00000100,01010100,01010100
C:cnot17:ZY,noreset,00000100,01010000,00000100
C:cnot17:ZZ,reset,00000100,00000100,00000100
C:cnot17:ZZ,noreset,00000100,00000000,00000100
C:cnot18:IX,reset,00000000,10100000,10100000
C:cnot18:IX,noreset,00000000,10100000,00000000
C:cnot18:IY,reset,00000000,10100010,10100010
C:cnot18:IY,noreset,00000000,10100010,00000000
C:cnot18:IZ,reset,00000000,00000010,00000010
C:cnot18:IZ,noreset,00000000,00000010,00000000
C:cnot18:XI,reset,00000000,10100000,10100000
C:cnot18:XI,noreset,00000000,10100000,00000000
C:cnot18:XX,reset,00000000,00000000,00000000
C:cnot18:XX,noreset,00000000,00000000,00000000
C:cnot18:XY,reset,00000000,00000010,00000010
C:cnot18:XY,noreset,00000000,00000010,00000000
C:cnot18:XZ,reset,00000000,10100010,10100010
C:cnot18:XZ,noreset,00000000,10100010,00000000
C:cnot18:YI,reset,00000010,10100000,10100000
C:cnot18:YI,noreset,00000010,10100010,00000010
C:cnot18:YX,reset,00000010,00000000,00000000
C:cnot18:YX,noreset,00000010,00000010,00000010
C:cnot18:YY,reset,00000010,00000010,00000010
C:cnot18:YY,noreset,00000010,00000000,00000010
C:cnot18:YZ,reset,00000010,10100010,10100010
C:cnot18:YZ,noreset,00000010,10100000,00000010
C:cnot18:ZI,reset,00000010,00000000,00000000
C:cnot18:ZI,noreset,00000010,00000010,00000010
C:cnot18:ZX,reset,00000010,10100000,10100000
C:cnot18:ZX,noreset,00000010,10100010,00000010
C:cnot18:ZY,reset,00000010,10100010,10100010
C:cnot18:ZY,noreset,00000010,10100000,00000010
C:cnot18:ZZ,reset,00000010,00000010,00000010
C:cnot18:ZZ,noreset,00000010,00000000,00000010
C:cnot19:IX,reset,00000000,10010000,10010000
C:cnot19:IX,noreset,00000000,10010000,00000000
C:cnot19:IY,reset,00000000,10010110,10010110
C:cnot19:IY,noreset,00000000,10010110,00000000
C:cnot19:IZ,reset,00000000,00000110,00000110
C:cnot19:IZ,noreset,00000000,00000110,00000000
C:cnot19:XI,reset,00000000,00110000,00110000
C:cnot19:XI,noreset,00000000,00110000,00000000
C:cnot19:XX,reset,00000000,10100000,10100000
C:cnot19:XX,noreset,00000000,10100000,00000000
C:cnot19:XY,reset,00000000,10100110,10100110
C:cnot19:XY,noreset,00000000,10100110,00000000
C:cnot19:XZ,reset,00000000,00110110,00110110
C:cnot19:XZ,noreset,00000000,00110110,00000000
C:cnot19:YI,reset,00000010,00110000,00110000
C:cnot19:YI,noreset,00000010,00110010,00000010
C:cnot19:YX,reset,00000010,10100000,10100000
C:cnot19:YX,noreset,00000010,10100010,00000010
C:cnot19:YY,reset,00000010,10100110,10100110
C:cnot19:YY,noreset,00000010,10100100,00000010
C:cnot19:YZ,reset,00000010,00110110,00110110
C:cnot19:YZ,noreset,00000010,00110100,00000010
C:cnot19:ZI,reset,00000010,00000000,00000000
C:cnot19:ZI,noreset,00000010,00000010,00000010
C:cnot19:ZX,reset,00000010,10010000,10010000
C:cnot19:ZX,noreset,00000010,10010010,00000010
C:cnot19:ZY,reset,00000010,10010110,10010110
C:cnot19:ZY,noreset,00000010,10010100,00000010
C:cnot19:ZZ,reset,00000010,00000110,00000110
C:cnot19:ZZ,noreset,00000010,00000100,00000010
C:cnot20:IX,reset,00000000,00100000,00100000
C:cnot20:IX,noreset,00000000,00100000,00000000
C:cnot20:IY,reset,00000000,00100010,00100010
C:cnot20:IY,noreset,00000000,00100010,00000000
C:cnot20:IZ,reset,00000000,00000010,00000010
C:cnot20:IZ,noreset,00000000,00000010,00000000
C:cnot20:XI,reset,00000000,00010000,00010000
C:cnot20:XI,noreset,00000000,00010000,00000000
C:cnot20:XX,reset,00000000,00110000,00110000
C:cnot20:XX,noreset,00000000,00110000,00000000
C:cnot20:XY,reset,00000000,00110010,00110010
C:cnot20:XY,noreset,00000000,00110010,00000000
C:cnot20:XZ,reset,00000000,00010010,00010010
C:cnot20:XZ,noreset,00000000,00010010,00000000
C:cnot20:YI,reset,00000010,00010000,00010000
C:cnot20:YI,noreset,00000010,00010010,00000010
C:cnot20:YX,reset,00000010,00110000,00110000
C:cnot20:YX,noreset,00000010,00110010,00000010
C:cnot20:YY,reset,00000010,00110010,00110010
C:cnot20:YY,noreset,00000010,00110000,00000010
C:cnot20:YZ,reset,00000010,00010010,00010010
C:cnot20:YZ,noreset,00000010,00010000,00000010
C:cnot20:ZI,reset,00000010,00000000,00000000
C:cnot20:ZI,noreset,00000010,00000010,00000010
C:cnot20:ZX,reset,00000010,00100000,00100000
C:cnot20:ZX,noreset,00000010,00100010,00000010
C:cnot20:ZY,reset,00000010,00100010,00100010
C:cnot20:ZY,noreset,00000010,00100000,00000010
C:cnot20:ZZ,reset,00000010,00000010,00000010
C:cnot20:ZZ,noreset,00000010,00000000,00000010
C:cnot21:IX,reset,00000000,00010000,00010000
C:cnot21:IX,noreset,00000000,00010000,00000000
C:cnot21:IY,reset,00000001,00010011,00010011
C:cnot21:IY,noreset,00000001,00010010,00000001
C:cnot21:IZ,reset,00000001,00000011,00000011
C:cnot21:IZ,noreset,00000001,00000010,00000001
C:cnot21:XI,reset,00000000,00000000,00000000
C:cnot21:XI,noreset,00000000,00000000,00000000
C:cnot21:XX,reset,00000000,00010000,00010000
C:cnot21:XX,noreset,00000000,00010000,00000000
C:cnot21:XY,reset,00000001,00010011,00010011
C:cnot21:XY,noreset,00000001,00010010,00000001
C:cnot21:XZ,reset,00000001,00000011,00000011
C:cnot21:XZ,noreset,00000001,00000010,00000001
C:cnot21:YI,reset,00000010,00000000,00000000
C:cnot21:YI,noreset,00000010,00000010,00000010
C:cnot21:YX,reset,00000010,00010000,00010000
C:cnot21:YX,noreset,00000010,00010010,00000010
C:cnot21:YY,reset,00000011,00010011,00010011
C:cnot21:YY,noreset,00000011,00010000,00000011
C:cnot21:YZ,reset,00000011,00000011,00000011
C:cnot21:YZ,noreset,00000011,00000000,00000011
C:cnot21:ZI,reset,00000010,00000000,00000000
C:cnot21:ZI,noreset,00000010,00000010,00000010
C:cnot21:ZX,reset,00000010,00010000,00010000
C:cnot21:ZX,noreset,00000010,00010010,00000010
C:cnot21:ZY,reset,00000011,00010011,00010011
C:cnot21:ZY,noreset,00000011,00010000,00000011
C:cnot21:ZZ,reset,00000011,00000011,00000011
C:cnot21:ZZ,noreset,00000011,00000000,00000011
C:cnot22:IX,reset,00000000,00010000,00010000
C:cnot22:IX,noreset,00000000,00010000,00000000
C:cnot22:IY,reset,00000000,00010011,00010011
C:cnot22:IY,noreset,00000000,00010011,00000000
C:cnot22:IZ,reset,00000000,00000011,00000011
C:cnot22:IZ,noreset,00000000,00000011,00000000
C:cnot22:XI,reset,00000000,00010000,00010000
C:cnot22:XI,noreset,00000000,00010000,00000000
C:cnot22:XX,reset,00000000,00000000,00000000
C:cnot22:XX,noreset,00000000,00000000,00000000
C:cnot22:XY,reset,00000000,00000011,00000011
C:cnot22:XY,noreset,00000000,00000011,00000000
C:cnot22:XZ,reset,00000000,00010011,00010011
C:cnot22:XZ,noreset,00000000,00010011,00000000
C:cnot22:YI,reset,00000001,00010000,00010000
C:cnot22:YI,noreset,00000001,00010001,00000001
C:cnot22:YX,reset,00000001,00000000,00000000
C:cnot22:YX,noreset,00000001,00000001,00000001
C:cnot22:YY,reset,00000001,00000011,00000011
C:cnot22:YY,noreset,00000001,00000010,00000001
C:cnot22:YZ,reset,00000001,00010011,00010011
C:cnot22:YZ,noreset,00000001,00010010,00000001
C:cnot22:ZI,reset,00000001,00000000,00000000
C:cnot22:ZI,noreset,00000001,00000001,00000001
C:cnot22:ZX,reset,00000001,00010000,00010000
C:cnot22:ZX,noreset,00000001,00010001,00000001
C:cnot22:ZY,reset,00000001,00010011,00010011
C:cnot22:ZY,noreset,00000001,00010010,00000001
C:cnot22:ZZ,reset,00000001,00000011,00000011
C:cnot22:ZZ,noreset,00000001,00000010,00000001
C:cnot23:IX,reset,00000000,00010000,00010000
C:cnot23:IX,noreset,00000000,00010000,00000000
C:cnot23:IY,reset,00000000,00010001,00010001
C:cnot23:IY,noreset,00000000,00010001,00000000
C:cnot23:IZ,reset,00000000,00000001,00000001
C:cnot23:IZ,noreset,00000000,00000001,00000000
C:cnot23:XI,reset,00000000,00000000,00000000
C:cnot23:XI,noreset,00000000,00000000,00000000
C:cnot23:XX,reset,00000000,00010000,00010000
C:cnot23:XX,noreset,00000000,00010000,00000000
C:cnot23:XY,reset,00000000,00010001,00010001
C:cnot23:XY,noreset,00000000,00010001,00000000
C:cnot23:XZ,reset,00000000,00000001,00000001
C:cnot23:XZ,noreset,00000000,00000001,00000000
C:cnot23:YI,reset,00000001,00000000,00000000
C:cnot23:YI,noreset,00000001,00000001,00000001
C:cnot23:YX,reset,00000001,00010000,00010000
C:cnot23:YX,noreset,00000001,00010001,00000001
C:cnot23:YY,reset,00000001,00010001,00010001
C:cnot23:YY,noreset,00000001,00010000,00000001
C:cnot23:YZ,reset,00000001,00000001,00000001
C:cnot23:YZ,noreset,00000001,00000000,00000001
C:cnot23:ZI,reset,00000001,00000000,00000000
C:cnot23:ZI,noreset,00000001,00000001,00000001
C:cnot23:ZX,reset,00000001,00010000,00010000
C:cnot23:ZX,noreset,00000001,00010001,00000001
C:cnot23:ZY,reset,00000001,00010001,00010001
C:cnot23:ZY,noreset,00000001,00010000,00000001
C:cnot23:ZZ,reset,00000001,00000001,00000001
C:cnot23:ZZ,noreset,00000001,00000000,00000001
