error,mode,syndrome_r0,syndrome_r1,syndrome_r2
C:cnot01:ZZ,reset,00001000,00001000,00001000
C:cnot01:ZZ,noreset,00001000,00000000,00001000
C:cnot02:IX,reset,10000000,00000000,00000000
C:cnot02:IX,noreset,10000000,10000000,10000000
C:cnot02:IY,reset,10000110,00000110,00000110
C:cnot02:IY,noreset,10000110,10000000,10000110
C:cnot02:IZ,reset,00000110,00000110,00000110
C:cnot02:IZ,noreset,00000110,00000000,00000110
C:cnot02:XI,reset,00100000,10100000,10100000
C:cnot02:XI,noreset,00100000,10000000,00100000
C:cnot02:XX,reset,10100000,10100000,10100000
C:cnot02:XX,noreset,10100000,00000000,10100000
C:cnot02:XY,reset,10100110,10100110,10100110
C:cnot02:XY,noreset,10100110,00000000,10100110
C:cnot02:XZ,reset,00100110,10100110,10100110
C:cnot02:XZ,noreset,00100110,10000000,00100110
C:cnot02:YI,reset,00100010,10100010,10100010
C:cnot02:YI,noreset,00100010,10000000,00100010
C:cnot02:YX,reset,10100010,10100010,10100010
C:cnot02:YX,noreset,10100010,00000000,10100010
C:cnot02:YY,reset,10100100,10100100,10100100
C:cnot02:YY,noreset,10100100,00000000,10100100
C:cnot02:YZ,reset,00100100,10100100,10100100
C:cnot02:YZ,noreset,00100100,10000000,00100100
C:cnot02:ZI,reset,00000010,00000010,00000010
C:cnot02:ZI,noreset,00000010,00000000,00000010
C:cnot02:ZX,reset,10000010,00000010,00000010
C:cnot02:ZX,noreset,10000010,10000000,10000010
C:cnot02:ZY,reset,10000100,00000100,00000100
C:cnot02:ZY,noreset,10000100,10000000,10000100
C:cnot02:ZZ,reset,00000100,00000100,00000100
C:cnot02:ZZ,noreset,00000100,00000000,00000100
C:cnot03:IX,reset,10000000,00000000,00000000
C:cnot03:IX,noreset,10000000,10000000,10000000
C:cnot03:IY,reset,10000000,00000000,00000000
C:cnot03:IY,noreset,10000000,10000000,10000000
C:cnot03:IZ,reset,00000000,00000000,00000000
C:cnot03:IZ,noreset,00000000,00000000,00000000
C:cnot03:XI,reset,00010000,10010000,10010000
C:cnot03:XI,noreset,00010000,10000000,00010000
C:cnot03:XX,reset,10010000,10010000,10010000
C:cnot03:XX,noreset,10010000,00000000,10010000
C:cnot03:XY,reset,10010000,10010000,10010000
C:cnot03:XY,noreset,10010000,00000000,10010000
C:cnot03:XZ,reset,00010000,10010000,10010000
C:cnot03:XZ,noreset,00010000,10000000,00010000
C:cnot03:YI,reset,00010110,10010110,10010110
C:cnot03:YI,noreset,00010110,10000000,00010110
C:cnot03:YX,reset,10010110,10010110,10010110
C:cnot03:YX,noreset,10010110,00000000,10010110
C:cnot03:YY,reset,10010110,10010110,10010110
C:cnot03:YY,noreset,10010110,00000000,10010110
C:cnot03:YZ,reset,00010110,10010110,10010110
C:cnot03:YZ,noreset,00010110,10000000,00010110
C:cnot03:ZI,reset,00000110,00000110,00000110
C:cnot03:ZI,noreset,00000110,00000000,00000110
C:cnot03:ZX,reset,10000110,00000110,00000110
C:cnot03:ZX,noreset,10000110,10000000,10000110
C:cnot03:ZY,reset,10000110,00000110,00000110
C:cnot03:ZY,noreset,10000110,10000000,10000110
C:cnot03:ZZ,reset,00000110,00000110,00000110
C:cnot03:ZZ,noreset,00000110,00000000,00000110
C:cnot04:IX,reset,01000000,00000000,00000000
C:cnot04:IX,noreset,01000000,01000000,01000000
C:cnot04:IY,reset,01000100,00000100,00000100
C:cnot04:IY,noreset,01000100,01000000,01000100
C:cnot04:IZ,reset,00000100,00000100,00000100
C:cnot04:IZ,noreset,00000100,00000000,00000100
C:cnot04:XI,reset,00000000,01000000,01000000
C:cnot04:XI,noreset,00000000,01000000,00000000
C:cnot04:XX,reset,01000000,01000000,01000000
C:cnot04:XX,noreset,01000000,00000000,01000000
C:cnot04:XY,reset,01000100,01000100,01000100
C:cnot04:XY,noreset,01000100,00000000,01000100
C:cnot04:XZ,reset,00000100,01000100,01000100
C:cnot04:XZ,noreset,00000100,01000000,00000100
C:cnot04:YI,reset,00000100,01000100,01000100
C:cnot04:YI,noreset,00000100,01000000,00000100
C:cnot04:YX,reset,01000100,01000100,01000100
C:cnot04:YX,noreset,01000100,00000000,01000100
C:cnot04:YY,reset,01000000,01000000,01000000
C:cnot04:YY,noreset,01000000,00000000,01000000
C:cnot04:YZ,reset,00000000,01000000,01000000
C:cnot04:YZ,noreset,00000000,01000000,00000000
C:cnot04:ZI,reset,00000100,00000100,00000100
C:cnot04:ZI,noreset,00000100,00000000,00000100
C:cnot04:ZX,reset,01000100,00000100,00000100
C:cnot04:ZX,noreset,01000100,01000000,01000100
C:cnot04:ZY,reset,01000000,00000000,00000000
C:cnot04:ZY,noreset,01000000,01000000,01000000
C:cnot04:ZZ,reset,00000000,00000000,00000000
C:cnot04:ZZ,noreset,00000000,00000000,00000000
C:cnot05:IX,reset,01000000,00000000,00000000
C:cnot05:IX,noreset,01000000,01000000,01000000
C:cnot05:IY,reset,01000000,00000000,00000000
C:cnot05:IY,noreset,01000000,01000000,01000000
C:cnot05:IZ,reset,00000000,00000000,00000000
C:cnot05:IZ,noreset,00000000,00000000,00000000
C:cnot05:XI,reset,00010000,01010000,01010000
C:cnot05:XI,noreset,00010000,01000000,00010000
C:cnot05:XX,reset,01010000,01010000,01010000
C:cnot05:XX,noreset,01010000,00000000,01010000
C:cnot05:XY,reset,01010000,01010000,01010000
C:cnot05:XY,noreset,01010000,00000000,01010000
C:cnot05:XZ,reset,00010000,01010000,01010000
C:cnot05:XZ,noreset,00010000,01000000,00010000
C:cnot05:YI,reset,00010100,01010100,01010100
C:cnot05:YI,noreset,00010100,01000000,00010100
C:cnot05:YX,reset,01010100,01010100,01010100
C:cnot05:YX,noreset,01010100,00000000,01010100
C:cnot05:YY,reset,01010100,01010100,01010100
C:cnot05:YY,noreset,01010100,00000000,01010100
C:cnot05:YZ,reset,00010100,01010100,01010100
C:cnot05:YZ,noreset,00010100,01000000,00010100
C:cnot05:ZI,reset,00000100,00000100,00000100
C:cnot05:ZI,noreset,00000100,00000000,00000100
C:cnot05:ZX,reset,01000100,00000100,00000100
C:cnot05:ZX,noreset,01000100,01000000,01000100
C:cnot05:ZY,reset,01000100,00000100,00000100
C:cnot05:ZY,noreset,01000100,01000000,01000100
C:cnot05:ZZ,reset,00000100,00000100,00000100
C:cnot05:ZZ,noreset,00000100,00000000,00000100
C:cnot06:IX,reset,00100000,00000000,00000000
C:cnot06:IX,noreset,00100000,00100000,00100000
C:cnot06:IY,reset,00100010,00000010,00000010
C:cnot06:IY,noreset,00100010,00100000,00100010
C:cnot06:IZ,reset,00000010,00000010,00000010
C:cnot06:IZ,noreset,00000010,00000000,00000010
C:cnot06:XI,reset,00000000,10100000,10100000
C:cnot06:XI,noreset,00000000,10100000,00000000
C:cnot06:XX,reset,00100000,10100000,10100000
C:cnot06:XX,noreset,00100000,10000000,00100000
C:cnot06:XY,reset,00100010,10100010,10100010
C:cnot06:XY,noreset,00100010,10000000,00100010
C:cnot06:XZ,reset,00000010,10100010,10100010
C:cnot06:XZ,noreset,00000010,10100000,00000010
C:cnot06:YI,reset,00000010,10100010,10100010
C:cnot06:YI,noreset,00000010,10100000,00000010
C:cnot06:YX,reset,00100010,10100010,10100010
C:cnot06:YX,noreset,00100010,10000000,00100010
C:cnot06:YY,reset,00100000,10100000,10100000
C:cnot06:YY,noreset,00100000,10000000,00100000
C:cnot06:YZ,reset,00000000,10100000,10100000
C:cnot06:YZ,noreset,00000000,10100000,00000000
C:cnot06:ZI,reset,00000010,00000010,00000010
C:cnot06:ZI,noreset,00000010,00000000,00000010
C:cnot06:ZX,reset,00100010,00000010,00000010
C:cnot06:ZX,noreset,00100010,00100000,00100010
C:cnot06:ZY,reset,00100000,00000000,00000000
C:cnot06:ZY,noreset,00100000,00100000,00100000
C:cnot06:ZZ,reset,00000000,00000000,00000000
C:cnot06:ZZ,noreset,00000000,00000000,00000000
