category,syndrome,cnot_a,pauli_a,label_a,cnot_b,pauli_b,label_b
diff_cnot_diff_pauli,000100010000000000010001,10,XY,CNOT10 Z3 7->12,11,YX,CNOT11 Z3 8->12
diff_cnot_diff_pauli,000100010000000000010001,10,XY,CNOT10 Z3 7->12,11,YY,CNOT11 Z3 8->12
diff_cnot_diff_pauli,000001001000100000000100,13,XY,CNOT13 X0 13->1,14,YZ,CNOT14 X1 14->1
diff_cnot_diff_pauli,000001001000100000000100,13,XY,CNOT13 X0 13->1,14,ZY,CNOT14 X1 14->1
diff_cnot_diff_pauli,000000010001001000000001,21,XY,CNOT21 X2 15->7,22,YZ,CNOT22 X3 16->7
diff_cnot_diff_pauli,000000010001001000000001,21,XY,CNOT21 X2 15->7,22,ZY,CNOT22 X3 16->7
diff_cnot_diff_pauli,000010001000000000001000,0,XZ,CNOT00 Z0 0->9,1,YZ,CNOT01 Z0 1->9
diff_cnot_diff_pauli,000010001000000000001000,0,XZ,CNOT00 Z0 0->9,12,YZ,CNOT12 X0 13->0
diff_cnot_diff_pauli,000010001000000000001000,0,XZ,CNOT00 Z0 0->9,12,ZY,CNOT12 X0 13->0
diff_cnot_diff_pauli,000010001000000000001000,1,YZ,CNOT01 Z0 1->9,12,ZY,CNOT12 X0 13->0
diff_cnot_diff_pauli,000001001000000000000100,1,XZ,CNOT01 Z0 1->9,15,YY,CNOT15 X1 14->2
diff_cnot_diff_pauli,000001000100000000000100,4,XZ,CNOT04 Z1 2->10,15,ZY,CNOT15 X1 14->2
diff_cnot_diff_pauli,000000101010000000000010,6,XZ,CNOT06 Z2 3->11,18,YZ,CNOT18 X2 15->3
diff_cnot_diff_pauli,000000101010000000000010,6,XZ,CNOT06 Z2 3->11,18,ZY,CNOT18 X2 15->3
diff_cnot_diff_pauli,000001101001000000000110,8,XZ,CNOT08 Z3 4->12,16,ZY,CNOT16 X1 14->4
diff_cnot_diff_pauli,000000010001000000000001,10,XZ,CNOT10 Z3 7->12,23,YY,CNOT23 X3 16->8
diff_cnot_diff_pauli,000000010001000000000001,10,XZ,CNOT10 Z3 7->12,11,YZ,CNOT11 Z3 8->12
diff_cnot_diff_pauli,000000010001000000000001,10,XZ,CNOT10 Z3 7->12,23,ZY,CNOT23 X3 16->8
diff_cnot_diff_pauli,000000010001000000000001,23,YY,CNOT23 X3 16->8,11,YZ,CNOT11 Z3 8->12
diff_cnot_diff_pauli,000000010001000000000001,11,YZ,CNOT11 Z3 8->12,23,ZY,CNOT23 X3 16->8
diff_cnot_diff_pauli,000001000000100000000100,13,XZ,CNOT13 X0 13->1,14,YY,CNOT14 X1 14->1
diff_cnot_diff_pauli,000001000000100000000100,13,XZ,CNOT13 X0 13->1,14,ZZ,CNOT14 X1 14->1
diff_cnot_diff_pauli,000000010000001000000001,21,XZ,CNOT21 X2 15->7,22,YY,CNOT22 X3 16->7
diff_cnot_diff_pauli,000000010000001000000001,21,XZ,CNOT21 X2 15->7,22,ZZ,CNOT22 X3 16->7
diff_cnot_diff_pauli,000101000100000000010100,9,YX,CNOT09 Z3 5->12,5,YZ,CNOT05 Z1 5->10
diff_cnot_diff_pauli,000010001000100000001000,13,YX,CNOT13 X0 13->1,12,ZX,CNOT12 X0 13->0
diff_cnot_diff_pauli,000001001000010000000100,15,YX,CNOT15 X1 14->2,14,ZX,CNOT14 X1 14->1
diff_cnot_diff_pauli,000000101010001000000010,19,YX,CNOT19 X2 15->4,18,ZX,CNOT18 X2 15->3
diff_cnot_diff_pauli,000000010001000100000001,23,YX,CNOT23 X3 16->8,22,ZX,CNOT22 X3 16->7
diff_cnot_diff_pauli,000010000000000000001000,12,YY,CNOT12 X0 13->0,1,ZZ,CNOT01 Z0 1->9
diff_cnot_diff_pauli,000000100000000000000010,18,YY,CNOT18 X2 15->3,7,ZZ,CNOT07 Z2 6->11
diff_cnot_diff_pauli,000000100000000000000010,18,YY,CNOT18 X2 15->3,10,ZZ,CNOT10 Z3 7->12
diff_cnot_diff_pauli,000000100000000000000010,18,YY,CNOT18 X2 15->3,20,ZZ,CNOT20 X2 15->6
diff_cnot_diff_pauli,000000100010000000000010,7,YZ,CNOT07 Z2 6->11,20,ZY,CNOT20 X2 15->6
diff_cnot_diff_pauli,000001000000000000000100,17,YZ,CNOT17 X1 14->5,2,ZZ,CNOT02 Z0 3->9
diff_cnot_diff_pauli,000001000000000000000100,17,YZ,CNOT17 X1 14->5,5,ZZ,CNOT05 Z1 5->10
diff_cnot_diff_pauli,000001000000000000000100,17,YZ,CNOT17 X1 14->5,15,ZZ,CNOT15 X1 14->2
diff_cnot_diff_pauli,000000010000000000000001,23,YZ,CNOT23 X3 16->8,11,ZZ,CNOT11 Z3 8->12
diff_cnot_diff_pauli,100010001000000010001000,0,ZX,CNOT00 Z0 0->9,1,ZY,CNOT01 Z0 1->9
diff_cnot_diff_pauli,010001000100000001000100,4,ZX,CNOT04 Z1 2->10,5,ZY,CNOT05 Z1 5->10
diff_cnot_diff_pauli,001000100010000000100010,6,ZX,CNOT06 Z2 3->11,7,ZY,CNOT07 Z2 6->11
diff_cnot_diff_pauli,000101100001000000010110,8,ZX,CNOT08 Z3 4->12,9,ZY,CNOT09 Z3 5->12
