k1,k2,mean_T_k1,std_T_k1,mean_T_k2,std_T_k2,gap,cohen_d
6,7,2.322330494118937,4.216324490071587,-2.065745628629165,4.0425957900505525,4.388076122748101,1.062627068409772
14,15,7.241829596348416,11.653872943159165,-8.056521793822268,12.050860540232652,15.298351390170684,1.2907423237548
14,17,6.616035071327251,8.488057071931566,-6.67373768043587,9.981185808872318,13.28977275176312,1.4391248019783123
15,17,8.801453638137495,10.840911802236601,-8.279160869518014,12.592333736904276,17.08061450765551,1.457810398403885
18,19,9.015622877406305,16.362488845447263,-9.706478956483563,13.003223582302077,18.722101833889866,1.2750994466729355
18,20,8.102483161047084,12.34461393552676,-8.58178802279286,10.73203223313226,16.684271183839947,1.4459875201882046
19,20,6.285190391676109,9.072238662370957,-6.087119579693946,10.231712322743407,12.372309971370054,1.2818422488650716
22,23,3.405739499832629,6.46581023040202,-3.010015653853054,6.142795443279353,6.415755153685684,1.0176787695213019
