k1,k2,d_at_T,sqrt_fit_a,sqrt_fit_rmse,T_required_for_d_target,d_target
6,7,0.5924,0.04289,0.0119,2174.4,2.0
14,15,1.2822,0.10209,0.1419,383.8,2.0
14,17,1.2817,0.10154,0.1448,388.0,2.0
15,17,1.3335,0.10029,0.0894,397.7,2.0
18,19,1.1292,0.08739,0.0738,523.7,2.0
18,20,1.0228,0.07832,0.0674,652.0,2.0
19,20,1.0300,0.07695,0.0447,675.5,2.0
22,23,1.1087,0.08219,0.0615,592.1,2.0
