L,within_n,within_min,within_mean,within_max,between_n,between_min,between_mean,between_max,ratio_between_over_within
1,8,0.002715138317260278,0.007968889967182324,0.011551481768193813,268,0.002372554504353486,0.011569078752682501,0.01865814464792971,1.4517804613097385
2,8,0.026222596747929462,0.03681849471965316,0.04165282169160294,268,0.02570590071704166,0.05161180039920617,0.06430463466231429,1.4017900729563657
3,8,0.10846511583608132,0.12229058014828545,0.12832962160594563,268,0.10351769142757326,0.14090029030419368,0.15681904175514955,1.1521761539878437
