T,r1_pc,lookup_pc,hamming_pc,r1_group,lookup_group,hamming_group
10,0.1796875,0.115,0.12208333333333332,0.24239583333333334,0.17041666666666666,0.18208333333333335
30,0.3115625,0.10666666666666667,0.1491666666666667,0.40343749999999995,0.15374999999999997,0.1991666666666667
50,0.4161458333333334,0.09541666666666666,0.18583333333333338,0.5373958333333333,0.14541666666666667,0.24833333333333332
