group_id,size,b0,b1,b2,b3,b4,b5,b6,b7,members
18,4,0,0,0,1,0,1,0,0,C:cnot05:YI;C:cnot05:YZ;C:cnot09:YX;C:cnot09:ZX
19,3,0,0,0,1,0,0,1,1,A:data7:Y;C:cnot10:YX;C:cnot10:ZX
20,3,0,1,0,1,0,0,0,0,A:data5:X;C:cnot05:XX;C:cnot05:XY
21,3,0,1,0,1,0,1,0,0,A:data5:Y;C:cnot05:YX;C:cnot05:YY
22,3,1,0,0,0,0,1,0,0,C:cnot01:IY;C:cnot01:XY;C:cnot02:ZY
23,3,1,0,0,0,0,1,1,0,C:cnot02:IY;C:cnot03:ZX;C:cnot03:ZY
24,3,1,0,0,0,1,1,0,0,A:data1:Y;C:cnot01:YX;C:cnot01:ZX
25,3,1,0,0,1,0,0,0,0,A:data4:X;C:cnot03:XX;C:cnot03:XY
26,3,1,0,0,1,0,1,1,0,A:data4:Y;C:cnot03:YX;C:cnot03:YY
27,2,1,0,1,0,0,0,0,0,A:data3:X;C:cnot02:XX
28,2,1,0,1,0,0,0,1,0,A:data3:Y;C:cnot02:YX
29,1,0,0,1,0,0,1,0,0,C:cnot02:YZ
30,1,0,0,1,0,0,1,1,0,C:cnot02:XZ
31,1,1,0,0,0,0,0,1,0,C:cnot02:ZX
32,1,1,0,1,0,0,1,0,0,C:cnot02:YY
33,1,1,0,1,0,0,1,1,0,C:cnot02:XY
