137,15,7,11,6,4,7,0,1,0,1,4,36,6,2,4,0,0,47,0,0,6,2,4
60,94,8,4,6,5,8,0,0,4,1,4,17,25,1,19,8,0,28,0,0,1,3,4
3,11,156,16,6,1,22,0,4,6,2,4,4,2,2,6,13,0,36,0,0,5,0,1
20,3,10,121,1,3,3,0,30,6,4,14,3,2,2,4,15,0,46,0,0,1,6,6
4,5,3,2,139,19,2,0,3,7,1,6,6,6,7,24,8,0,43,0,0,4,2,9
3,5,7,3,42,114,3,0,7,28,1,15,7,0,2,9,5,0,42,0,0,4,0,3
6,1,11,2,3,5,148,0,5,4,2,7,8,4,2,6,8,0,63,0,0,6,0,9
3,5,8,4,7,2,130,0,1,6,1,6,6,4,0,9,12,0,81,0,0,7,2,6
6,2,3,10,5,4,6,0,93,22,3,35,11,1,1,9,28,0,54,0,0,1,2,4
9,2,4,4,2,9,7,0,30,103,3,9,8,7,10,9,17,0,60,0,0,1,1,5
2,0,3,3,2,2,9,0,2,23,91,43,3,3,1,9,2,0,52,0,0,36,4,10
2,3,5,9,6,4,9,0,10,5,15,121,4,6,3,8,3,0,43,0,0,4,8,32
16,6,8,4,8,3,4,0,3,3,7,6,133,24,1,4,6,0,58,0,0,2,1,3
3,9,4,6,9,5,10,0,1,5,1,2,37,111,8,20,12,0,48,0,0,3,1,5
5,11,6,4,11,6,7,0,4,7,0,6,7,8,37,78,17,0,68,0,0,6,0,12
6,11,7,3,9,8,7,0,6,10,3,7,4,14,41,69,17,0,60,0,0,6,2,10
4,6,6,3,6,4,4,0,4,13,2,7,7,4,15,22,93,0,82,0,0,4,5,9
5,7,7,7,8,5,11,0,2,7,4,5,9,12,33,66,25,0,68,0,0,5,5,9
4,4,4,10,9,1,12,0,6,5,4,6,13,3,4,12,16,0,166,0,0,16,1,4
5,4,10,4,8,6,15,0,2,14,7,1,16,3,1,5,14,0,162,0,0,18,2,3
3,1,6,4,10,1,16,0,3,6,2,7,13,6,1,10,24,0,165,0,0,16,0,6
9,4,5,4,4,1,9,0,1,2,12,5,11,4,2,3,5,0,77,0,0,102,9,31
7,3,5,6,6,3,7,0,5,3,5,15,9,3,3,7,5,0,67,0,0,18,31,92
9,3,5,7,6,5,5,0,3,4,4,15,8,5,2,9,7,0,73,0,0,12,38,80
