global_id,conflict_size,pauli,cnot_idx,stab_type,stab_index,control,target,syndrome_bits
50,1,XZ,19,X,2,15,4,0000000000110110
51,1,YZ,4,Z,1,2,10,0000000001000000
52,1,XX,17,X,1,14,5,0000000001010000
53,1,XY,17,X,1,14,5,0000000001010100
54,1,XY,15,X,1,14,2,0000000010000100
55,1,XZ,12,X,0,13,0,0000000010001000
56,1,XZ,14,X,1,14,1,0000000010001100
57,1,YZ,8,Z,3,4,12,0000000010010000
58,1,XZ,18,X,2,15,3,0000000010100010
59,1,XY,19,X,2,15,4,0000000010100110
60,1,XX,16,X,1,14,4,0000000011000000
61,1,XZ,15,X,1,14,2,0000000011000100
62,1,YX,22,X,3,16,7,0000000100000001
63,1,YX,18,X,2,15,3,0000001000000010
64,1,ZZ,19,X,2,15,4,0000001000000100
65,1,YX,21,X,2,15,7,0000001000010010
65,1,ZX,21,X,2,15,7,0000001000010010
66,1,ZX,20,X,2,15,6,0000001000100010
67,1,YY,20,X,2,15,6,0000001000110000
68,1,YX,20,X,2,15,6,0000001000110010
69,1,YZ,19,X,2,15,4,0000001000110100
70,1,XZ,9,Z,3,5,12,0000001001010000
71,1,XZ,16,X,1,14,4,0000001001010100
72,1,ZX,19,X,2,15,4,0000001010010010
73,1,ZY,19,X,2,15,4,0000001010010100
74,1,YY,19,X,2,15,4,0000001010100100
75,1,XY,16,X,1,14,4,0000001011000100
76,1,YZ,21,X,2,15,7,0000001100000000
76,1,ZZ,21,X,2,15,7,0000001100000000
77,1,YY,21,X,2,15,7,0000001100010000
77,1,ZY,21,X,2,15,7,0000001100010000
78,1,YX,14,X,1,14,1,0000010000000100
79,1,ZX,15,X,1,14,2,0000010001000100
80,1,YY,17,X,1,14,5,0000010001010000
80,1,ZY,17,X,1,14,5,0000010001010000
81,1,YX,17,X,1,14,5,0000010001010100
81,1,ZX,17,X,1,14,5,0000010001010100
82,1,ZX,16,X,1,14,4,0000010010010100
83,1,YZ,15,X,1,14,2,0000010011000000
84,1,YX,16,X,1,14,4,0000010011000100
85,1,YY,16,X,1,14,4,0000011011000000
86,1,YX,12,X,0,13,0,0000100000001000
87,1,YZ,13,X,0,13,1,0000110000000000
87,1,ZZ,13,X,0,13,1,0000110000000000
88,1,YY,13,X,0,13,1,0000110010000000
88,1,ZY,13,X,0,13,1,0000110010000000
89,1,ZY,8,Z,3,4,12,0001000000010000
90,1,ZX,11,Z,3,8,12,0001000100010000
90,1,ZY,11,Z,3,8,12,0001000100010000
91,1,YY,10,Z,3,7,12,0001001000000000
