case_id,kind,location,pauli,tick,control,target,stab_type,syndrome,weight,lit_ancillas
D0_X,data_single,"D0(1, 1)",X,,,,,001000000000000000000000,1,Z2
D0_Y,data_single,"D0(1, 1)",Y,,,,,101000000000000000000000,2,X0;Z2
D0_Z,data_single,"D0(1, 1)",Z,,,,,100000000000000000000000,1,X0
D1_X,data_single,"D1(3, 1)",X,,,,,001000000000000000000000,1,Z2
D1_Y,data_single,"D1(3, 1)",Y,,,,,101100000000000000000000,3,X0;Z2;X3
D1_Z,data_single,"D1(3, 1)",Z,,,,,100100000000000000000000,2,X0;X3
D2_X,data_single,"D2(5, 1)",X,,,,,000010000000000000000000,1,Z4
D2_Y,data_single,"D2(5, 1)",Y,,,,,010110000000000000000000,3,X1;X3;Z4
D2_Z,data_single,"D2(5, 1)",Z,,,,,010100000000000000000000,2,X1;X3
D3_X,data_single,"D3(7, 1)",X,,,,,000010000000000000000000,1,Z4
D3_Y,data_single,"D3(7, 1)",Y,,,,,010011000000000000000000,3,X1;Z4;X5
D3_Z,data_single,"D3(7, 1)",Z,,,,,010001000000000000000000,2,X1;X5
D4_X,data_single,"D4(9, 1)",X,,,,,000000100000000000000000,1,Z6
D4_Y,data_single,"D4(9, 1)",Y,,,,,000001100000000000000000,2,X5;Z6
D4_Z,data_single,"D4(9, 1)",Z,,,,,000001000000000000000000,1,X5
D5_X,data_single,"D5(1, 3)",X,,,,,001000010000000000000000,2,Z2;Z7
D5_Y,data_single,"D5(1, 3)",Y,,,,,001000011000000000000000,3,Z2;Z7;X8
D5_Z,data_single,"D5(1, 3)",Z,,,,,000000001000000000000000,1,X8
D6_X,data_single,"D6(3, 3)",X,,,,,001000000100000000000000,2,Z2;Z9
D6_Y,data_single,"D6(3, 3)",Y,,,,,001100001100000000000000,4,Z2;X3;X8;Z9
D6_Z,data_single,"D6(3, 3)",Z,,,,,000100001000000000000000,2,X3;X8
D7_X,data_single,"D7(5, 3)",X,,,,,000010000100000000000000,2,Z4;Z9
D7_Y,data_single,"D7(5, 3)",Y,,,,,000110000110000000000000,4,X3;Z4;Z9;X10
D7_Z,data_single,"D7(5, 3)",Z,,,,,000100000010000000000000,2,X3;X10
D8_X,data_single,"D8(7, 3)",X,,,,,000010000001000000000000,2,Z4;Z11
D8_Y,data_single,"D8(7, 3)",Y,,,,,000011000011000000000000,4,Z4;X5;X10;Z11
D8_Z,data_single,"D8(7, 3)",Z,,,,,000001000010000000000000,2,X5;X10
D9_X,data_single,"D9(9, 3)",X,,,,,000000100001000000000000,2,Z6;Z11
D9_Y,data_single,"D9(9, 3)",Y,,,,,000001100001000000000000,3,X5;Z6;Z11
D9_Z,data_single,"D9(9, 3)",Z,,,,,000001000000000000000000,1,X5
D10_X,data_single,"D10(1, 5)",X,,,,,000000010000100000000000,2,Z7;Z12
D10_Y,data_single,"D10(1, 5)",Y,,,,,000000011000100000000000,3,Z7;X8;Z12
D10_Z,data_single,"D10(1, 5)",Z,,,,,000000001000000000000000,1,X8
D11_X,data_single,"D11(3, 5)",X,,,,,000000000100100000000000,2,Z9;Z12
D11_Y,data_single,"D11(3, 5)",Y,,,,,000000001100110000000000,4,X8;Z9;Z12;X13
D11_Z,data_single,"D11(3, 5)",Z,,,,,000000001000010000000000,2,X8;X13
D12_X,data_single,"D12(5, 5)",X,,,,,000000000100001000000000,2,Z9;Z14
D12_Y,data_single,"D12(5, 5)",Y,,,,,000000000110011000000000,4,Z9;X10;X13;Z14
D12_Z,data_single,"D12(5, 5)",Z,,,,,000000000010010000000000,2,X10;X13
D13_X,data_single,"D13(7, 5)",X,,,,,000000000001001000000000,2,Z11;Z14
D13_Y,data_single,"D13(7, 5)",Y,,,,,000000000011001100000000,4,X10;Z11;Z14;X15
D13_Z,data_single,"D13(7, 5)",Z,,,,,000000000010000100000000,2,X10;X15
D14_X,data_single,"D14(9, 5)",X,,,,,000000000001000010000000,2,Z11;Z16
D14_Y,data_single,"D14(9, 5)",Y,,,,,000000000001000110000000,3,Z11;X15;Z16
D14_Z,data_single,"D14(9, 5)",Z,,,,,000000000000000100000000,1,X15
D15_X,data_single,"D15(1, 7)",X,,,,,000000000000100001000000,2,Z12;Z17
D15_Y,data_single,"D15(1, 7)",Y,,,,,000000000000100001100000,3,Z12;Z17;X18
D15_Z,data_single,"D15(1, 7)",Z,,,,,000000000000000000100000,1,X18
D16_X,data_single,"D16(3, 7)",X,,,,,000000000000100000010000,2,Z12;Z19
D16_Y,data_single,"D16(3, 7)",Y,,,,,000000000000110000110000,4,Z12;X13;X18;Z19
D16_Z,data_single,"D16(3, 7)",Z,,,,,000000000000010000100000,2,X13;X18
