sample_id,mode,n_rounds,shots,mid_measure,reset_after_measure,return_probs,control,target,error_rounds,occurrence_vector,error_types,error_wires,fault_schedule_json,dataset_type,stab_type,stab_index,syndrome_bits,detection_bits,final_bits,probabilities,raw_output_json,cnot_index
0,no_mid_measure_final_sample,4,1,False,False,False,3,11,,"0,0,0,0","X,Z","3,11",[],all_cnot_round_patterns,Z,2,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",6
1,no_mid_measure_final_sample,4,1,False,False,False,3,11,0,"1,0,0,0","X,Z","3,11","[{""round"": 0, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,10100000,,"{""final_bits"": [[1, 0, 1, 0, 0, 0, 0, 0]]}",6
2,no_mid_measure_final_sample,4,1,False,False,False,3,11,1,"0,1,0,0","X,Z","3,11","[{""round"": 1, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,00000010,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 1, 0]]}",6
3,no_mid_measure_final_sample,4,1,False,False,False,3,11,2,"0,0,1,0","X,Z","3,11","[{""round"": 2, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,10100000,,"{""final_bits"": [[1, 0, 1, 0, 0, 0, 0, 0]]}",6
4,no_mid_measure_final_sample,4,1,False,False,False,3,11,3,"0,0,0,1","X,Z","3,11","[{""round"": 3, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,00000010,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 1, 0]]}",6
5,no_mid_measure_final_sample,4,1,False,False,False,3,11,"0,1","1,1,0,0","X,Z","3,11","[{""round"": 0, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,10100010,,"{""final_bits"": [[1, 0, 1, 0, 0, 0, 1, 0]]}",6
6,no_mid_measure_final_sample,4,1,False,False,False,3,11,"0,2","1,0,1,0","X,Z","3,11","[{""round"": 0, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",6
7,no_mid_measure_final_sample,4,1,False,False,False,3,11,"0,3","1,0,0,1","X,Z","3,11","[{""round"": 0, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,10100010,,"{""final_bits"": [[1, 0, 1, 0, 0, 0, 1, 0]]}",6
8,no_mid_measure_final_sample,4,1,False,False,False,3,11,"1,2","0,1,1,0","X,Z","3,11","[{""round"": 1, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,10100010,,"{""final_bits"": [[1, 0, 1, 0, 0, 0, 1, 0]]}",6
9,no_mid_measure_final_sample,4,1,False,False,False,3,11,"1,3","0,1,0,1","X,Z","3,11","[{""round"": 1, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",6
10,no_mid_measure_final_sample,4,1,False,False,False,3,11,"2,3","0,0,1,1","X,Z","3,11","[{""round"": 2, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,10100010,,"{""final_bits"": [[1, 0, 1, 0, 0, 0, 1, 0]]}",6
11,no_mid_measure_final_sample,4,1,False,False,False,3,11,"0,1,2","1,1,1,0","X,Z","3,11","[{""round"": 0, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,00000010,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 1, 0]]}",6
12,no_mid_measure_final_sample,4,1,False,False,False,3,11,"0,1,3","1,1,0,1","X,Z","3,11","[{""round"": 0, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,10100000,,"{""final_bits"": [[1, 0, 1, 0, 0, 0, 0, 0]]}",6
13,no_mid_measure_final_sample,4,1,False,False,False,3,11,"0,2,3","1,0,1,1","X,Z","3,11","[{""round"": 0, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,00000010,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 1, 0]]}",6
14,no_mid_measure_final_sample,4,1,False,False,False,3,11,"1,2,3","0,1,1,1","X,Z","3,11","[{""round"": 1, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,10100000,,"{""final_bits"": [[1, 0, 1, 0, 0, 0, 0, 0]]}",6
15,no_mid_measure_final_sample,4,1,False,False,False,3,11,"0,1,2,3","1,1,1,1","X,Z","3,11","[{""round"": 0, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 1, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 2, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}, {""round"": 3, ""control"": 3, ""target"": 11, ""error_wires"": [3, 11], ""error_types"": [""X"", ""Z""]}]",all_cnot_round_patterns,Z,2,,,00000000,,"{""final_bits"": [[0, 0, 0, 0, 0, 0, 0, 0]]}",6
